Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
314534.0;54.23;3;1;0;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
384144.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
215000.0;37.88;2;0;3;3;2013;1;0;0;0;0;0;0;1;0;0;1;0;0;556.0
392147.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
314534.0;54.23;3;1;0;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
314534.0;54.23;3;1;0;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
384144.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
336226.0;54.23;3;1;0;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
159000.0;35.13;2;0;2;2;1960;1;0;0;0;0;0;0;1;0;0;1;0;0;570.0
299000.0;59.8;3;0;2;4;1980;1;0;0;0;0;0;0;1;0;0;1;0;0;556.0
408153.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
314534.0;54.23;3;1;0;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
243800.0;51.7;2;0;2;2;1970;1;0;0;0;0;0;0;1;1;0;1;0;0;567.0
384144.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
292842.0;54.23;3;1;0;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
392147.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
310000.0;66.0;3;0;8;10;1980;1;0;0;0;0;0;0;1;0;0;0;1;0;559.0
185000.0;43.71;2;0;0;3;1960;1;0;0;0;0;1;0;0;0;0;1;0;0;556.0
292842.0;54.23;3;1;0;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
130000.0;37.0;1;0;2;2;1955;1;0;0;0;0;0;0;1;0;0;1;0;0;567.0
392147.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
292842.0;54.23;3;1;0;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
392147.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
384144.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
292842.0;54.23;3;1;0;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
325380.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
319957.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
336226.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
292842.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
314534.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
314534.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
314534.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
314534.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
287419.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
314534.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
314534.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
314534.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
330803.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
330803.0;54.23;3;1;0;1;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
408153.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
416156.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
416156.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
416156.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
408153.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
400150.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
392147.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
384144.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
372140.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
384144.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
384144.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
244900.0;49.58;2;0;1;3;1927;0;0;1;0;0;1;0;0;0;0;1;0;0;560.0
392147.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
400150.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
408153.0;80.03;4;1;1;2;2022;0;0;0;1;0;1;0;0;0;1;1;0;0;561.0
290000.0;53.12;3;1;4;4;1977;1;0;0;0;0;0;0;1;0;0;1;0;0;560.0
234900.0;60.47;3;0;4;4;1978;1;0;0;0;0;0;0;1;0;0;1;0;0;567.0
145000.0;38.1;2;0;3;4;1972;1;0;0;0;0;0;0;1;1;0;0;0;1;560.0
280000.0;67.05;3;0;2;3;1970;1;0;0;0;0;1;0;0;0;0;1;0;0;0.0
165000.0;50.0;2;0;2;3;1970;1;0;0;0;1;0;0;0;0;1;0;1;0;558.0
186000.0;45.0;1;0;1;3;1940;0;0;1;0;1;0;0;0;0;0;1;0;0;561.0
159000.0;45.0;2;0;2;4;1980;1;0;0;0;0;0;0;1;1;0;1;0;0;567.0
227999.0;55.7;3;0;3;4;1980;1;0;0;0;0;0;0;1;0;0;0;0;1;560.0
259000.0;69.0;2;0;3;3;1930;1;0;0;0;0;1;0;0;0;1;1;0;0;561.0
300000.0;120.5;5;0;3;4;1910;0;0;1;0;0;1;0;0;0;0;1;0;0;556.0
189000.0;37.5;2;0;4;4;1975;1;0;0;0;0;0;0;1;0;0;0;1;0;567.0
260000.0;50.43;2;0;1;3;2012;1;0;0;0;0;1;0;0;0;0;1;0;0;561.0
255000.0;52.76;3;0;4;4;1970;1;0;0;0;0;0;0;1;0;0;1;0;0;557.0
144000.0;33.57;1;0;0;4;1940;0;0;1;0;1;0;0;0;0;0;1;0;0;556.0
260000.0;85.0;3;0;2;4;1938;0;0;1;0;0;0;1;0;0;0;1;0;0;556.0
285000.0;65.0;3;0;4;8;1980;1;0;0;0;0;0;0;1;0;0;0;1;0;557.0
274900.0;59.0;3;0;4;4;1980;1;0;0;0;0;0;0;1;0;0;1;0;0;560.0
177900.0;61.25;2;0;2;3;1970;1;0;0;0;0;0;0;1;1;0;1;0;0;556.0
319000.0;64.0;3;0;4;4;1;1;0;0;0;0;0;0;1;0;0;0;1;0;567.0
140000.0;37.1;2;0;3;4;1980;1;0;0;0;0;0;0;1;1;0;0;1;0;561.0
165000.0;38.29;2;0;2;3;1913;0;0;1;0;0;1;0;0;0;0;1;0;0;0.0
