Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
690000.0;77.9;4;0;3;4.0;2016.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;9.0
999989.0;55.0;2;0;8;12.0;2019.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.1
399000.0;70.0;3;0;0;1.0;2021.0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;26.3
399000.0;70.0;3;0;0;1.0;2021.0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;26.3
1160000.0;98.0;4;0;3;3.0;1930.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;2.5
599000.0;63.4;3;0;2;4.0;1982.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5.8
560000.0;60.64;3;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;6.7
345000.0;41.2;2;0;4;4.0;1975.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6.3
399000.0;41.01;2;1;1;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;6.7
405000.0;41.6;2;1;0;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;6.7
560000.0;60.64;3;1;1;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;6.7
569000.0;63.02;3;1;1;2.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;21.8
569000.0;63.2;3;1;0;2.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;21.8
980000.0;107.0;4;0;1;2.0;1994.0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;21.4
730000.0;51.0;2;0;0;4.0;1963.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;8.5
659970.0;53.0;3;0;2;3.0;1920.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;4.0
840225.0;87.07;4;1;0;17.0;2023.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.3
860000.0;45.63;3;0;2;17.0;2018.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0.7
650000.0;65.4;3;0;3;3.0;2012.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;20.6
739000.0;48.2;2;0;2;3.0;2010.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;9.0
540000.0;51.8;4;0;0;4.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;7.4
998000.0;75.52;3;0;2;5.0;2020.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2.8
525000.0;46.7;3;0;4;4.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;9.3
950000.0;66.0;3;0;1;3.0;1950.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1.8
545000.0;50.5;2;0;2;2.0;1930.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;4.0
689000.0;113.0;3;0;2;2.0;2018.0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;26.6
900000.0;45.5;2;0;4;4.0;1950.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;2.1
399000.0;26.0;1;0;4;4.0;1976.0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;11.9
520000.0;52.2;2;0;3;3.0;2008.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.3
639000.0;42.33;2;0;1;2.0;1920.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;10.1
699000.0;73.0;4;0;1;4.0;1995.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3.8
495000.0;45.0;2;0;4;4.0;1965.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.3
510000.0;79.29;3;0;2;3.0;2001.0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;11.9
434000.0;47.18;3;0;0;3.0;1960.0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;4.9
485000.0;50.68;2;0;3;4.0;1954.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;4.3
625000.0;60.0;3;0;2;3.0;2017.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;12.7
515000.0;49.0;2;0;3;3.0;2008.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.3
426000.0;49.13;3;0;0;2.0;1940.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;4.1
619000.0;49.02;3;0;1;2.0;1960.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2.4
1480000.0;122.0;4;0;0;3.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;10.9
699000.0;74.0;3;0;2;3.0;1900.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;9.0
730000.0;54.2;3;0;0;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.3
940000.0;48.0;3;0;11;17.0;2018.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.7
399000.0;36.1;2;0;3;4.0;2019.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;11.1
920000.0;70.1;3;0;9;17.0;2009.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5.1
379000.0;73.49;4;1;1;1.0;2020.0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;22.7
539000.0;54.0;3;0;4;4.0;1976.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.7
450000.0;43.61;2;0;1;3.0;2014.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.6
448649.28;54.66;3;1;0;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
1099000.0;73.98;3;0;0;4.0;1960.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;12.4
333305.28;40.08;2;1;0;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
448649.28;54.66;3;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
337633.92;40.08;2;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
540907.2;65.9;3;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
341962.56;40.08;2;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
502038.0;61.98;3;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
599000.0;52.0;2;0;2;3.0;1955.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.4
669000.0;32.0;2;0;2;3.0;1950.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1.6
280000.0;35.7;2;1;4;4.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;7.8
251900.0;36.35;2;1;3;4.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;9.0
204000.0;27.49;1;1;1;4.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;9.0
304900.0;36.93;2;1;5;5.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.9
376500.0;51.56;3;1;5;5.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.3
296500.0;35.91;2;1;0;5.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;7.8
587000.0;58.88;3;0;1;3.0;2008.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;13.2
376500.0;51.56;3;1;0;5.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.9
575000.0;63.0;4;0;3;3.0;2013.0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;11.1
397000.0;34.0;2;0;2;4.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.4
579900.0;43.3;2;0;5;5.0;2016.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.7
425000.0;38.0;2;0;0;10.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;8.5
679000.0;62.65;3;0;1;5.0;2017.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.4
549000.0;64.44;3;0;0;3.0;1999.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;20.8
589000.0;50.0;2;0;2;9.0;1961.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2.3
599000.0;67.0;3;0;1;3.0;2016.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;10.7
354900.0;31.85;2;0;3;3.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2.1
670000.0;100.1;4;0;0;1.0;1910.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;16.2
540000.0;57.25;3;0;2;2.0;1954.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2.1
647000.0;64.8;3;0;4;4.0;2020.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.9
710000.0;87.9;4;0;3;3.0;1968.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;4.5
460000.0;38.0;2;0;2;4.0;1966.0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;7.1
309000.0;26.0;1;0;0;2.0;1950.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.6
620000.0;49.0;2;0;3;4.0;1956.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1.2
400000.0;32.0;1;0;3;3.0;2005.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;6.3
629000.0;55.0;2;0;2;2.0;1960.0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1.6
530000.0;53.0;3;0;0;10.0;1972.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;7.7
629000.0;61.0;3;0;1;2.0;1999.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.3
459000.0;48.37;3;0;3;3.0;1922.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;7.1
550000.0;56.0;2;0;0;3.0;1999.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6.3
425000.0;38.0;2;0;4;4.0;1968.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;7.7
1502000.0;120.0;4;0;1;2.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;6.2
635000.0;62.35;3;0;1;3.0;1957.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1.1
1190000.0;149.8;5;0;1;3.0;1900.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2.5
699000.0;64.0;3;0;1;3.0;2000.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.3
499000.0;49.4;2;0;4;5.0;1950.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.2
759000.0;93.57;3;0;1;2.0;1924.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3.6
479000.0;52.97;3;0;0;4.0;1978.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4.1
419000.0;44.0;2;0;1;2.0;1918.0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;4.0
430000.0;43.7;2;0;0;3.0;2000.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.3
1434000.0;72.0;2;0;0;3.0;2013.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;11.6
899999.0;46.0;2;0;8;17.0;2016.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.0
399000.0;40.3;2;0;3;3.0;2002.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.3
