Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
350000.0;45.3;2;0;4;4;1975;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0.2
1500000.0;238.15;4;0;4;5;1937;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0.5
640000.0;71.0;3;0;9;9;1975;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;7.1
749000.0;73.0;3;0;2;6;2010;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;3.5
1790000.0;178.25;6;0;1;2;1907;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;13.7
895000.0;70.1;3;0;9;17;2009;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;16.5
565000.0;52.0;2;0;2;4;1960;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;17.2
1090000.0;101.2;4;0;0;2;2000;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;8.7
670000.0;56.0;2;0;0;2;2015;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.6
437400.0;27.0;1;0;4;5;2021;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;20.9
950000.0;44.8;2;0;5;28;2009;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0
990000.0;80.0;3;0;0;3;1950;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;17.4
485000.0;60.0;3;0;1;4;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;7.8
648211.0;77.63;4;1;0;5;2021;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;8.0
