Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
489000.0;69.63;4;1;0;4;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.8
542000.0;70.1;4;0;2;4;1986;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;27.1
270000.0;48.0;3;0;1;4;1980;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;22.2
367000.0;45.98;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
285000.0;34.38;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
549480.0;61.74;3;0;2;17;2020;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;26.8
353255.6;50.42;3;1;3;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
270965.76;37.76;2;1;3;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
269000.0;48.0;3;0;0;4;1978;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;21.5
346849.44;48.99;3;1;3;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
391039.0;56.58;4;1;3;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
339203.04;47.91;3;1;3;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
179000.0;46.61;3;0;0;2;1964;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;22.1
350860.65;50.42;3;1;2;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
389586.45;56.76;4;1;2;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
340841.0;48.47;3;1;2;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
247804.0;33.2;1;1;2;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
343471.0;50.39;3;1;1;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
327988.0;50.39;3;1;1;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
419000.0;64.0;4;0;4;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1.2
270000.0;48.4;2;0;3;3;1985;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4.8
199000.0;38.0;1;0;4;4;1976;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;21.5
256000.0;42.0;2;0;4;4;1970;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;33.0
409000.0;54.23;3;1;4;4;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.1
366000.0;50.39;3;1;2;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.1
392147.0;80.03;4;1;1;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;25.7
322000.0;44.6;3;1;1;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.1
336226.0;54.23;3;1;0;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;25.7
259000.0;33.2;2;1;2;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.1
205000.0;25.2;1;1;1;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.1
310000.0;69.0;4;0;9;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;24.1
