Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
260800.0;32.6;2;1;3;3;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
376720.0;55.39;3;1;2;3;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
787000.0;68.7;3;0;3;6;2020;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;17.2
680000.0;86.1;4;1;0;1;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;17.6
682000.0;60.66;3;0;1;4;2020;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;12.6
443950.0;68.32;4;1;1;3;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
372400.0;53.22;3;1;1;3;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
345000.0;51.0;2;0;1;4;1970;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;15.1
458900.0;70.6;4;1;1;3;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
263000.0;49.0;2;0;1;3;1960;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;30.5
443950.0;68.32;4;1;0;3;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
372400.0;53.2;3;1;0;3;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
437120.0;68.3;4;1;1;3;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
494900.0;77.7;5;1;0;1;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;19.4
285675.0;40.0;2;1;1;5;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;27.8
340000.0;74.0;4;0;0;4;1982;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;25.9
269900.0;61.9;3;0;3;4;1985;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;38.2
419475.0;56.0;3;1;1;5;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;27.8
459000.0;61.14;3;0;7;9;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;18.6
489000.0;49.65;3;0;2;3;2014;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;13.0
299000.0;54.0;2;0;3;3;1980;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;8.1
389000.0;72.5;4;0;2;3;1990;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;21.9
159000.0;35.13;2;0;2;2;1960;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;28.9
90000.0;40.0;1;0;1;2;1915;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;24.1
595000.0;88.11;4;0;1;2;2014;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;12.2
299000.0;61.0;3;0;4;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;29.2
225000.0;40.4;2;0;8;10;1974;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;23.5
142000.0;29.08;1;0;1;2;1920;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;21.5
154900.0;36.08;2;0;0;4;1937;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;21.0
370048.0;37.76;2;1;5;13;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
235000.0;33.3;1;0;3;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;8.3
281400.0;42.0;2;1;2;4;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;22.6
387040.0;37.76;2;1;4;13;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
367126.0;36.17;2;1;4;13;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
363196.0;35.96;2;1;3;13;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
405000.0;51.1;2;0;2;3;2014;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;20.1
471380.0;50.96;3;1;1;13;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
362496.0;37.76;2;1;1;13;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
468464.0;50.92;3;1;0;13;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
379103.0;37.35;2;1;2;13;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
491545.0;53.14;3;1;1;13;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
750600.0;54.0;3;1;5;7;2021;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;17.2
377503.0;37.94;2;1;0;13;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
639000.0;79.9;3;0;4;4;1922;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;21.7
386200.0;50.48;3;1;1;11;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.7
359000.0;62.92;3;0;0;4;1979;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;18.9
299000.0;59.8;3;0;2;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;37.0
419000.0;75.0;4;0;2;3;1982;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;7.6
384600.0;49.64;3;1;3;11;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.7
373709.0;37.94;2;1;1;8;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.1
259000.0;49.0;2;0;3;3;1990;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;22.3
790869.0;111.39;4;1;1;5;2020;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;12.9
465450.0;62.49;3;1;2;11;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;15.8
465400.0;62.5;3;1;1;11;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.7
372900.0;53.66;2;1;1;11;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.7
376000.0;52.6;2;1;2;11;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.7
339000.0;45.0;2;0;2;5;1958;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;14.2
405000.0;64.32;3;1;1;3;2021;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;20.6
179000.0;40.0;2;0;2;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;104.0
430000.0;70.9;3;1;0;1;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;23.2
105000.0;20.0;1;0;1;3;1900;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;28.6
279000.0;53.85;3;0;2;3;1900;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;22.5
420000.0;70.7;3;1;0;1;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;23.2
415000.0;65.8;3;1;1;1;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;23.2
336226.0;54.23;3;1;0;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;31.0
356311.0;37.31;2;1;0;13;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
425000.0;71.0;3;1;1;1;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;23.2
475000.0;120.02;4;0;3;3;1950;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;48.6
517275.0;68.25;3;1;1;4;2021;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;11.9
567500.0;77.0;3;1;1;4;2021;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;11.9
650000.0;137.8;4;0;2;3;1945;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;23.3
434160.0;64.32;3;1;1;6;2021;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;16.9
119000.0;39.7;2;0;1;1;1940;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;27.9
530000.0;50.5;2;0;2;4;2017;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;14.3
559000.0;51.0;2;0;0;3;2017;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;25.2
249000.0;32.26;1;0;5;10;1970;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;45.2
427548.0;64.78;3;1;3;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
611911.0;91.33;4;1;4;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
493884.0;72.63;4;1;5;5;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.7
578000.0;76.05;4;1;0;2;2022;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;12.5
325000.0;39.25;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;12.5
325000.0;39.25;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;12.5
305900.0;68.0;3;0;6;11;1984;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;13.6
559000.0;95.0;5;0;3;4;1910;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;15.3
355000.0;50.0;2;1;3;4;2021;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;26.0
399000.0;60.01;3;0;0;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;17.7
559000.0;60.29;4;0;4;5;2020;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;19.7
264900.0;32.3;1;0;3;4;1900;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;17.2
599000.0;68.31;3;0;1;4;2021;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;13.0
549480.0;61.7;3;0;1;17;2021;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;20.8
550000.0;80.24;3;1;1;1;2021;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;57.3
485000.0;55.0;2;0;3;3;2011;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;12.9
709000.0;85.0;3;0;1;4;2021;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.2
329915.0;57.89;3;1;0;1;2021;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;34.1
445000.0;62.2;3;0;0;4;2000;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;17.9
365000.0;77.4;4;0;3;3;1900;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;33.1
749000.0;78.0;2;0;2;4;2010;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;17.9
395000.0;40.26;2;0;0;4;1938;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;19.0
435000.0;65.0;3;0;9;18;1985;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;21.3
672790.0;70.82;3;1;1;3;2019;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;15.3
672210.0;74.69;4;1;2;3;2019;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;15.3
314534.0;54.23;3;1;0;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;31.0
384144.0;80.03;4;1;1;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;31.0
478000.0;61.67;3;0;3;3;2013;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;17.5
237921.0;45.61;2;1;2;4;2021;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;33.2
404481.0;67.29;4;1;1;3;2020;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;24.0
132000.0;36.08;2;0;0;3;1938;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;15.3
195000.0;37.3;2;0;0;3;1970;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;20.3
285000.0;90.0;4;0;3;3;1900;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;34.8
219000.0;50.0;2;0;2;10;1980;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;25.9
315000.0;75.0;4;0;2;4;1978;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;25.0
409000.0;77.49;5;1;1;1;2021;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;23.8
268000.0;50.8;2;0;0;2;1964;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;7.3
209000.0;49.74;2;0;3;4;1982;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;30.5
763600.0;84.61;3;0;1;5;2020;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;17.6
409644.0;37.93;2;0;2;9;2023;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;13.0
433233.0;39.03;2;0;5;9;2023;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;13.0
599999.0;110.13;5;0;8;8;1988;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;13.4
610470.0;76.95;3;0;2;5;2020;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;17.6
479954.0;76.5;3;1;2;3;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;25.8
724567.68;109.12;4;1;3;3;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;25.8
325659.0;48.0;2;1;0;3;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;25.8
598500.0;63.23;2;0;4;5;2021;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;17.5
239400.0;68.4;3;0;1;2;1960;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;32.1
293000.0;39.0;2;0;3;10;1975;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;12.4
319000.0;54.7;3;0;4;13;1978;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;21.2
259000.0;61.0;3;0;1;4;1983;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;34.7
189900.0;31.01;2;0;0;10;1970;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;36.5
255000.0;42.7;2;0;9;10;1980;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;15.6
229000.0;34.0;1;0;2;5;1978;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;22.7
326000.0;51.0;3;0;3;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;21.5
405000.0;68.0;3;0;4;4;1995;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;20.7
438698.0;46.66;3;1;5;5;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.9
179000.0;49.0;2;0;0;2;1960;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;32.1
708726.0;82.41;4;1;1;5;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.9
725208.0;82.41;4;1;0;6;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.9
350000.0;69.2;3;0;5;10;1986;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;18.6
415700.0;51.91;3;1;1;2;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;12.5
578000.0;76.05;4;1;0;2;2022;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;12.5
319000.0;42.39;2;0;3;10;1980;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;13.5
325000.0;39.25;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;12.5
661658.0;80.75;4;1;0;6;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.9
349330.0;56.4;3;1;4;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;22.3
335220.0;56.83;3;1;5;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;22.3
585000.0;56.09;3;1;2;2;2020;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;13.6
249000.0;41.0;2;0;2;2;1930;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;36.0
450000.0;63.0;4;0;2;4;1974;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;20.8
364110.0;58.74;3;1;2;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;22.3
365045.0;61.88;3;1;0;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;22.3
678205.0;71.39;3;1;6;6;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.9
734895.0;105.0;5;0;2;2;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;17.2
255000.0;43.0;2;0;3;12;1975;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;27.0
409236.0;61.08;3;1;1;6;2021;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;16.9
649000.0;73.84;3;0;0;1;2018;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;61.1
459800.0;52.25;3;1;5;6;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.9
289000.0;63.0;3;0;3;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;22.2
159000.0;45.0;3;0;3;3;1964;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;37.8
384144.0;80.03;4;1;1;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;31.0
292842.0;54.23;3;1;0;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;31.0
607552.0;69.04;3;1;3;6;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.9
537516.0;68.04;4;1;1;6;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.9
464000.0;90.71;5;0;1;3;1921;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;15.5
299900.0;36.0;2;0;0;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;18.4
260000.0;46.0;2;0;2;2;1930;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;36.9
539068.0;65.74;3;1;1;6;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.9
428180.0;54.2;3;1;1;6;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;20.9
481572.0;57.33;3;1;1;6;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.9
140000.0;39.1;1;0;2;2;1960;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;29.6
289000.0;50.6;2;0;4;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;23.5
195000.0;46.2;2;0;4;10;1970;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;28.9
325000.0;39.25;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;12.5
578000.0;76.05;4;1;0;2;2022;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;12.5
689000.0;78.0;4;1;1;1;2021;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;17.3
314534.0;54.23;3;1;0;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;31.0
384144.0;80.03;4;1;1;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;31.0
239000.0;51.35;2;0;2;10;1982;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;14.4
485000.0;74.0;4;0;2;2;1920;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;12.6
359777.0;50.0;2;0;1;2;1908;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;17.6
230000.0;24.0;1;0;3;3;1970;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;18.6
280000.0;46.0;2;0;1;3;1960;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;15.6
264950.0;35.35;1;0;0;4;1982;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;15.5
339694.0;44.55;2;1;0;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;17.7
204862.0;25.85;1;1;0;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;17.7
379319.0;52.14;3;1;2;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;17.7
565364.0;65.74;3;1;5;6;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;20.0
388297.0;42.67;2;1;3;6;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;20.0
494306.0;55.54;3;1;5;6;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;20.0
416630.0;68.3;4;1;0;4;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;10.6
389000.0;38.38;2;0;1;4;2017;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;21.1
336240.0;56.99;3;1;3;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;22.3
199000.0;43.0;2;0;8;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;21.0
349680.0;56.4;3;1;4;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.2
350700.0;56.57;3;1;2;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;22.3
515000.0;67.57;3;0;2;4;2011;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;19.0
451940.0;76.6;4;1;1;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.2
364932.0;58.86;3;1;1;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.2
378898.0;64.22;3;1;0;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.2
374800.0;63.54;4;1;3;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;22.3
277800.0;44.81;2;1;2;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;22.3
451900.0;76.6;4;1;1;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;22.3
417462.0;50.91;3;1;6;6;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;20.9
365092.0;61.88;3;1;0;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.2
336800.0;57.09;3;1;2;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;22.3
443950.0;68.32;4;1;3;3;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
253287.0;31.27;1;1;1;6;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;20.9
388800.0;48.0;3;1;1;6;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;20.9
372703.0;63.17;3;1;0;5;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.2
230000.0;49.0;2;0;11;14;1978;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;24.8
289915.6;35.12;2;1;5;6;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;22.4
458900.0;70.61;4;1;3;3;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
225000.0;55.26;3;0;3;4;1980;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;20.7
260800.0;32.59;2;1;3;3;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
376720.0;55.38;3;1;2;3;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
179000.0;38.0;2;0;3;4;1965;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;31.0
410000.0;63.6;3;0;6;6;1992;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.1
443950.0;68.31;4;1;1;3;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
203000.0;37.0;2;0;2;3;1970;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;18.6
699000.0;63.22;3;0;3;5;2020;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;15.5
372400.0;53.21;3;1;1;3;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
458900.0;70.59;4;1;1;3;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
443950.0;68.31;4;1;0;3;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
410000.0;34.45;2;0;4;5;2020;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;15.5
279000.0;58.44;3;0;3;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;30.1
140000.0;28.0;1;0;2;4;1930;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;22.7
372400.0;53.19;3;1;0;3;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
240989.0;27.86;1;1;4;6;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;20.9
387360.0;48.42;2;1;4;6;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;20.9
437120.0;68.29;4;1;1;3;2022;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.7
286521.14;29.03;1;1;1;5;2020;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;17.1
286033.01;30.27;1;1;1;5;2021;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;17.6
324351.59;29.7;1;1;4;4;2020;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;16.8
489000.0;69.63;4;1;0;4;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;35.5
542000.0;70.1;4;0;2;4;1986;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;19.0
289000.0;49.0;2;0;5;10;1980;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;18.6
195000.0;57.28;2;0;2;2;1960;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;23.0
549480.0;61.74;3;0;2;17;2020;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;20.6
