Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
325924.0;47.93;2;1;5;6.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;10.9
365000.0;43.34;2;0;3;3.0;2019.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;33.1
305900.0;68.0;3;0;6;11.0;1984.0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;11.3
406485.0;60.22;3;1;2;6.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;10.9
199000.0;44.0;2;0;4;4.0;1968.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;21.1
423000.0;52.96;3;1;2;3.0;2021.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;22.8
185000.0;37.25;2;0;4;4.0;1968.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;15.4
311000.0;33.99;1;0;0;2.0;2016.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;9.7
397500.0;71.2;4;0;8;10.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;17.2
325000.0;38.44;2;0;3;3.0;2016.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;25.6
415700.0;51.91;3;1;1;2.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
461000.0;59.1;3;1;0;2.0;2022.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
585000.0;74.01;4;1;2;2.0;2022.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
607000.0;74.01;4;1;2;2.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
415000.0;55.95;3;1;1;2.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;16.8
396000.0;62.9;3;0;9;11.0;1979.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3.2
