Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Rok budowy;Liczba pięter;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
307000.0;44.39;2;0;0;1965;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.8
252588.0;30.07;2;1;4;2021;5;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.1
450000.0;53.0;2;0;2;2018;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;9.0
195000.0;28.0;1;0;0;1988;3;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;5.8
380000.0;56.0;3;0;3;1970;8;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;4.4
301000.0;42.42;2;0;4;1970;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;7.8
252000.0;35.0;1;0;3;1930;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.1
490000.0;45.0;2;0;5;1925;5;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.2
288000.0;40.0;1;0;3;1930;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.1
309000.0;29.12;2;0;1;2021;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.8
299000.0;56.0;3;0;10;1974;10;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;12.8
570000.0;63.5;3;0;0;2018;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;8.1
260000.0;36.2;1;0;0;1969;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.7
339000.0;57.0;3;0;1;1978;11;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;6.4
365500.0;52.95;3;0;1;2021;3;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;7.5
799000.0;69.0;3;0;0;2016;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;11.2
620000.0;60.4;2;0;4;2017;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;12.2
363175.0;49.75;3;1;2;2021;4;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.1
487500.0;65.0;3;1;1;2021;3;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;36.8
515000.0;73.79;4;0;3;1996;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;10.4
275000.0;47.5;3;0;4;1970;10;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;7.8
360000.0;56.37;2;0;1;1960;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4.6
340000.0;49.16;2;0;8;1983;11;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;7.4
265000.0;45.32;2;0;0;1964;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;3.4
369000.0;62.0;3;0;9;1983;10;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;8.0
319000.0;52.0;2;0;0;1962;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;3.8
267200.0;36.0;2;0;2;1965;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3.6
310000.0;41.5;2;0;8;1964;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1.5
225000.0;40.0;1;0;0;1930;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2.5
325000.0;44.88;2;0;4;1980;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4.4
428000.0;50.0;2;0;0;2013;5;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;6.7
199000.0;33.0;1;0;2;1962;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;12.1
389000.0;45.0;2;0;3;2008;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.5
477124.0;59.27;4;1;3;2021;6;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.5
464902.0;51.0;3;1;8;2021;8;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.5
565000.0;54.0;2;0;0;2010;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.9
525000.0;54.18;2;1;1;2020;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;7.3
511200.0;68.16;3;1;1;2020;2;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;11.3
439082.0;55.58;3;1;1;2021;2;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;11.3
439000.0;56.0;3;0;1;1965;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.9
275000.0;44.0;2;0;4;1960;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;7.1
425000.0;56.62;3;1;1;2021;3;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;3.9
325000.0;41.86;2;1;3;2022;3;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;3.9
250000.0;33.5;1;0;3;1978;11;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.5
255000.0;39.34;1;0;4;1979;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;4.5
570000.0;84.35;5;0;2;1978;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;7.0
319000.0;38.0;2;0;2;1977;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.9
270000.0;27.93;1;1;3;2023;4;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;3.1
313000.0;32.5;1;1;4;2023;4;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;4.3
745000.0;86.66;5;0;1;2020;10;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;3.1
389000.0;57.64;2;0;0;1960;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.5
599000.0;103.0;6;0;4;1995;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;4.1
439000.0;62.0;3;0;8;1984;11;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;4.2
310000.0;45.1;2;0;1;1969;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;7.9
400000.0;48.57;2;0;4;1986;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;12.1
400000.0;87.0;2;0;1;1898;3;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;2.1
710000.0;72.0;4;0;3;2010;4;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;4.1
620000.0;69.2;3;1;3;2021;8;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.6
148800.0;15.0;1;0;2;1910;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4.7
620000.0;60.4;2;0;4;2017;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;13.5
520000.0;38.65;2;0;0;2020;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.1
530000.0;74.9;4;0;3;2016;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;13.3
699000.0;102.36;3;0;7;2011;7;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.6
639000.0;64.0;3;0;5;2012;7;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1.7
660000.0;69.5;3;1;1;2021;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;5.8
419000.0;53.27;3;0;2;1970;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4.2
515781.22;74.99;4;1;0;2022;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;13.7
392610.0;34.14;2;1;6;2021;7;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4.1
250000.0;33.36;1;1;3;2021;3;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;5.8
320000.0;66.6;3;0;1;1890;4;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.9
460000.0;62.2;3;0;2;1972;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;2.3
349000.0;68.0;3;0;4;2007;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;12.2
550000.0;48.66;3;0;1;2016;5;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.8
482000.0;62.0;3;0;8;1986;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;4.5
455000.0;47.35;2;1;0;2021;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;8.9
445000.0;51.0;3;0;10;1975;11;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;4.9
285000.0;36.85;2;0;4;1969;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.9
219999.0;48.0;2;0;0;1959;2;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;26.4
499000.0;80.4;3;0;3;1980;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;7.1
409000.0;54.8;2;0;1;1992;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.1
426000.0;46.62;2;1;3;2021;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;6.7
319000.0;36.5;1;1;2;1960;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.2
858000.0;85.75;2;0;3;2014;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.9
359000.0;57.29;3;0;0;1977;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.3
614000.0;65.35;3;0;1;2021;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;6.0
575000.0;73.35;3;0;1;1999;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;7.2
299000.0;53.94;2;0;3;2005;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;10.5
469000.0;62.12;3;0;4;1982;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.8
590000.0;71.3;3;0;2;2008;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.5
315000.0;45.0;2;0;1;1967;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4.1
164862.0;23.22;1;1;2;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
256156.0;37.67;2;1;1;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
267784.0;39.38;2;1;0;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
148461.0;20.91;1;1;0;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
256156.0;37.67;2;1;2;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
164862.0;23.22;1;1;0;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
256156.0;37.67;2;1;0;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
425322.0;60.0;4;1;1;2022;6;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.5
369651.0;51.0;3;1;1;2022;6;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.5
209168.0;30.76;2;1;0;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
299000.0;37.0;2;0;1;1975;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.8
585000.0;45.0;2;0;1;1903;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1.7
278000.0;53.0;3;0;0;1973;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.3
291000.0;60.84;3;0;0;1989;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;16.4
540000.0;47.17;2;0;1;2021;5;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;7.2
269000.0;37.48;2;0;2;1975;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;5.5
