Nazwa miejscowości ;miasta
Abisynia;abisynia
Abisynia Górska;abisynia górska
Abram;abram
Abramiki;abramiki
Abramowice;abramowice
Abramowice Kościelne;abramowice kościelne
Abramowice Prywatne;abramowice prywatne
Abramów;abramów
Abramówka;abramówka
Abramów-Kolonia;abramów-kolonia
Abramy;abramy
Achrymowce;achrymowce
Adama;adama
Adamcowa;adamcowa
Adamczowice;adamczowice
Adamczycha;adamczycha
Adamczyki;adamczyki
Adamczykowa Rola;adamczykowa rola
Adamek;adamek
Adamierz;adamierz
Adamin;adamin
Adaminowo;adaminowo
Adaminów;adaminów
Adamka;adamka
Adamki;adamki
Adamkowo;adamkowo
Adamkówka;adamkówka
Adamowa;adamowa
Adamowa Góra;adamowa góra
Adamowe Łączki;adamowe łączki
Adamowice;adamowice
Adamowizna;adamowizna
Adamowo;adamowo
Adamowo-Dozin;adamowo-dozin
Adamowo-Leśnictwo;adamowo-leśnictwo
Adamowo-Osiedle;adamowo-osiedle
Adamowo-Zastawa;adamowo-zastawa
Adamów;adamów
Adamów Drwalewski;adamów drwalewski
Adamów Rososki;adamów rososki
Adamówek;adamówek
Adamówka;adamówka
Adamów-Kolonia;adamów-kolonia
Adamów-Parcel;adamów-parcel
Adamów-Wieś;adamów-wieś
Adampol;adampol
Adamusy;adamusy
Adamy;adamy
Adelin;adelin
Adelina;adelina
Adelinów;adelinów
Administracyjne;administracyjne
Adolfin;adolfin
Adolfinów;adolfinów
Adolfowo;adolfowo
Adolfów;adolfów
Adrianka;adrianka
Adwokatowo;adwokatowo
Afryka;afryka
Agatówka;agatówka
Agnieszczyn;agnieszczyn
Agnieszkowo;agnieszkowo
Agnieszkowo-Krzyżówki;agnieszkowo-krzyżówki
Agnieszków;agnieszków
Agnopol;agnopol
Agrafinówka;agrafinówka
Akacyjki;akacyjki
Aksamitowizna;aksamitowizna
Aksamity;aksamity
Aksmanice;aksmanice
Akwizgran;akwizgran
Albertowa;albertowa
Albertowo;albertowo
Albertowsko;albertowsko
Albertów;albertów
Albertów-Cegielnia;albertów-cegielnia
Albertów-Folwark;albertów-folwark
Albertynowo;albertynowo
Albigowa;albigowa
Albinów;albinów
Albinów Duży;albinów duży
Albinów Mały;albinów mały
Albrechtówka;albrechtówka
Alej Borowa;alej borowa
Alej Kaniowska;alej kaniowska
Aleja Czaniecka;aleja czaniecka
Aleja Fabryczna;aleja fabryczna
Aleksandria;aleksandria
Aleksandria Druga;aleksandria druga
Aleksandria Krzywowolska;aleksandria krzywowolska
Aleksandria Niedziałowska;aleksandria niedziałowska
Aleksandria Pierwsza;aleksandria pierwsza
Aleksandrowice;aleksandrowice
Aleksandrowiec;aleksandrowiec
Aleksandrowo;aleksandrowo
Aleksandrów;aleksandrów
Aleksandrów Czwarty;aleksandrów czwarty
Aleksandrów Drugi;aleksandrów drugi
Aleksandrów Duży;aleksandrów duży
Aleksandrów k. Wąsosza;aleksandrów k. wąsosza
Aleksandrów Kujawski;aleksandrów kujawski
Aleksandrów Łódzki;aleksandrów łódzki
Aleksandrów Pierwszy;aleksandrów pierwszy
Aleksandrów Trzeci;aleksandrów trzeci
Aleksandrówek;aleksandrówek
Aleksandrówka;aleksandrówka
Aleksandrynów;aleksandrynów
Aleksewo;aleksewo
Aleksicze;aleksicze
Aleksiejówka;aleksiejówka
Alfonsowo;alfonsowo
Alfonsów;alfonsów
Alfredów;alfredów
Alfredówka;alfredówka
Alin;alin
Alinowo;alinowo
Alinów;alinów
Alojzów;alojzów
Alojzówka;alojzówka
Alpy;alpy
Altain;altain
Altana;altana
Altanka;altanka
Altona;altona
Alwa;alwa
Alwernia;alwernia
Amalka;amalka
Amandów;amandów
Ambrożew;ambrożew
Ambrożew-Parcele;ambrożew-parcele
Ambrożów;ambrożów
Amelin;amelin
Ameliówka;ameliówka
Ameryczka;ameryczka
Ameryka;ameryka
Ameryka Dzierżąska;ameryka dzierżąska
Ameryka Północna;ameryka północna
Ameryka Wschodnia;ameryka wschodnia
Amirowice;amirowice
Anachów;anachów
Anapole;anapole
Anastazew;anastazew
Anastazewo;anastazewo
Anastazów;anastazów
Anatolin;anatolin
Ancuty;ancuty
Ancuty-Kolonia;ancuty-kolonia
Anczykówka;anczykówka
Andrespol;andrespol
Andruszkowice;andruszkowice
Andrychów;andrychów
Andrychy;andrychy
Andryjanki;andryjanki
Andryszów;andryszów
Andrzejewo;andrzejewo
Andrzejewo-Kolonie;andrzejewo-kolonie
