Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
313500.0;37.47;2;0;0;4.0;1971.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;5.5
769000.0;72.6;4;0;3;14.0;2020.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.9
399000.0;47.5;2;0;6;10.0;1980.0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;4.5
860000.0;88.0;4;0;0;3.0;2012.0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.1
419000.0;99.0;4;1;2;2.0;2021.0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1.8
220000.0;36.5;2;0;5;5.0;1908.0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1.8
359000.0;37.0;2;0;0;3.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.5
335000.0;40.0;2;0;4;4.0;2000.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.9
620000.0;82.0;3;0;3;4.0;2003.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.9
693000.0;63.09;2;1;3;4.0;2020.0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;2.7
748000.0;68.04;2;1;3;4.0;2020.0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;2.7
849000.0;76.06;3;0;3;4.0;2020.0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;2.7
697000.0;63.38;2;1;3;4.0;2020.0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;3.6
449000.0;36.64;2;0;2;5.0;2009.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.1
874000.0;79.5;4;1;3;4.0;2020.0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;2.7
