Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
413370.0;64.89;3;1;0;5;2023;1;0;0;0;1;0;0;0;0;1;0;0;3.3
334234.0;54.58;3;1;1;5;2023;1;0;0;0;1;0;0;0;0;1;0;0;3.3
211000.0;28.0;1;1;0;2;2022;1;0;0;0;1;0;0;0;1;1;0;0;6.5
249000.0;53.6;3;0;0;4;1974;0;1;0;0;0;0;1;0;0;1;0;0;16.6
279000.0;61.1;3;0;1;10;1987;0;1;0;0;0;0;1;0;0;1;0;0;1.9
237000.0;43.0;2;0;4;4;1970;0;1;0;0;0;0;1;0;0;1;0;0;21.7
444465.0;70.55;3;1;1;2;2021;1;0;0;0;1;0;0;0;1;1;0;0;2.6
395451.0;62.77;3;1;1;2;2021;1;0;0;0;1;0;0;0;1;1;0;0;2.6
240000.0;65.99;3;0;1;1;1916;0;0;1;0;0;1;0;0;0;1;0;0;6.5
466000.0;72.0;3;1;0;1;2022;1;0;0;0;1;0;0;0;1;1;0;0;17.0
390228.0;62.94;3;1;2;2;2021;1;0;0;0;1;0;0;0;1;1;0;0;2.6
430355.0;70.55;3;1;0;2;2021;1;0;0;0;1;0;0;0;1;1;0;0;2.6
360640.0;56.35;2;1;0;2;2021;1;0;0;0;1;0;0;0;1;1;0;0;2.6
288000.0;54.09;3;0;4;4;1978;0;1;0;0;0;0;1;0;0;0;0;1;19.3
270000.0;56.0;3;0;4;4;1989;0;1;0;0;0;0;1;0;0;0;1;0;20.3
202000.0;36.0;1;0;2;4;1980;0;1;0;0;0;0;1;0;0;1;0;0;21.1
265000.0;53.0;3;0;2;4;1975;0;1;0;0;0;0;1;0;0;0;1;0;3.9
299000.0;42.0;2;0;1;1;2016;1;0;0;0;1;0;0;0;0;1;0;0;0.9
159000.0;36.0;1;0;1;4;1970;0;1;0;0;0;0;1;0;0;0;0;1;20.0
535000.0;62.0;3;0;0;2;2011;1;0;0;0;1;0;0;0;0;1;0;0;3.3
466000.0;71.68;3;1;0;1;2022;0;0;0;1;1;0;0;0;1;1;0;0;18.0
363000.0;55.83;3;1;0;1;2022;0;0;0;1;1;0;0;0;1;1;0;0;18.0
285000.0;61.0;3;0;7;8;1988;0;1;0;0;0;0;1;0;0;0;0;1;10.4
540059.0;85.86;4;1;6;7;2020;0;1;0;0;1;0;0;0;1;1;0;0;50.0
437410.0;70.55;3;1;2;2;2021;1;0;0;0;1;0;0;0;1;1;0;0;2.6
263000.0;56.0;3;0;4;10;1970;0;1;0;0;0;0;1;0;0;0;1;0;13.8
