Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Ogrzewanie_gazowe;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
189000.0;47.91;2;0;0;2;1957;0;0;1;0;0;1;0;0;0;0;1;15.7
590000.0;77.4;3;0;1;2;2010;1;0;0;0;1;0;0;0;1;0;0;0.0
290000.0;70.01;4;0;7;10;1975;0;1;0;0;0;1;0;1;1;0;0;13.3
369000.0;73.55;3;1;1;1;2021;1;0;0;0;1;0;0;1;1;0;0;3.3
190000.0;48.9;2;0;3;10;1980;0;1;0;0;0;1;1;0;0;0;1;1.9
379900.0;58.45;3;1;0;1;2021;1;0;0;0;1;0;0;1;1;0;0;3.3
430355.0;70.55;3;1;0;2;2021;1;0;0;0;1;0;0;1;1;0;0;1.7
400000.0;74.9;3;1;0;1;2021;1;0;0;0;1;0;0;1;1;0;0;3.3
218000.0;50.25;2;0;1;4;1970;0;1;0;0;0;1;0;0;0;1;0;9.7
249000.0;55.7;3;0;10;10;1978;0;1;0;0;0;1;0;0;0;0;1;1.9
444465.0;70.55;3;1;1;2;2021;1;0;0;0;1;0;0;1;1;0;0;2.6
437410.0;70.55;3;1;2;2;2021;1;0;0;0;1;0;0;1;1;0;0;2.6
369900.0;69.89;3;1;2;2;2021;0;0;0;1;1;0;0;1;1;0;0;5.1
200000.0;48.4;2;0;3;3;1960;0;1;0;0;0;1;0;0;1;0;0;20.8
430355.0;70.55;3;1;0;2;2021;1;0;0;0;1;0;0;1;1;0;0;2.6
185000.0;32.7;1;0;8;10;1980;0;1;0;0;0;1;0;0;0;1;0;1.9
158000.0;37.6;2;0;2;4;1975;0;1;0;0;0;1;1;0;1;0;0;20.8
349900.0;63.35;3;1;1;1;2021;1;0;0;0;1;0;0;1;1;0;0;5.1
379900.0;58.45;3;1;0;1;2021;1;0;0;0;1;0;0;1;1;0;0;5.1
269000.0;56.0;3;0;0;4;1980;0;1;0;0;0;1;0;0;1;0;0;18.0
460000.0;82.12;4;1;1;1;2021;0;0;0;1;1;0;0;1;1;0;0;18.1
345000.0;48.0;3;1;1;2;2021;1;0;0;0;1;0;0;1;1;0;0;2.0
219900.0;46.2;2;0;5;10;1980;0;1;0;0;0;1;0;0;1;0;0;0.9
495000.0;86.0;3;0;3;2;2012;0;0;0;1;1;0;0;0;1;0;0;2.5
351000.0;51.0;3;1;0;2;2022;1;0;0;0;1;0;0;1;1;0;0;6.5
409000.0;69.0;4;1;1;2;2020;1;0;0;0;1;0;0;1;1;0;0;6.5
185000.0;38.55;1;0;0;10;1985;0;1;0;0;0;1;0;0;0;1;0;1.9
235000.0;56.0;3;0;3;4;1970;0;1;0;0;0;1;0;0;0;1;0;13.3
365000.0;61.37;4;1;1;2;2022;1;0;0;0;1;0;0;1;1;0;0;18.1
399000.0;42.9;2;0;3;3;2015;1;0;0;0;1;0;0;0;1;0;0;3.4
367000.0;57.5;3;1;0;1;2021;1;0;0;0;1;0;0;1;1;0;0;3.3
