Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
409872.0;85.39;4;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;5.8
620000.0;64.0;3;0;4;4.0;2007.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;4.5
330000.0;45.38;3;1;0;1.0;2022.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;6.8
359600.0;58.4;3;1;2;4.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.4
357650.0;58.1;3;1;1;4.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.4
335000.0;50.0;3;0;4;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.6
441800.0;73.05;4;1;5;8.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.7
397000.0;41.0;2;0;0;4.0;2015.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.2
310000.0;37.5;2;0;10;10.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1.2
566000.0;58.95;2;0;11;23.0;2020.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1.7
335000.0;37.28;2;0;4;4.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.2
408136.0;60.02;3;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;3.7
274056.0;36.06;2;1;1;4.0;2020.0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;5.6
369000.0;52.8;3;1;0;4.0;2020.0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;5.6
309000.0;33.06;2;0;1;2.0;2017.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5.2
313000.0;34.29;2;0;1;10.0;2019.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.6
461290.5;93.19;4;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;10.3
578352.0;120.49;4;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;10.3
456934.5;92.31;4;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;10.3
575000.0;64.29;2;0;1;2.0;2012.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;6.8
293504.0;45.86;2;1;3;4.0;2022.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;6.6
449000.0;47.79;2;0;0;17.0;2020.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.4
332416.0;51.94;3;1;1;4.0;2022.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;6.6
470000.0;52.3;3;0;0;2.0;2015.0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;4.6
520000.0;73.48;3;0;2;2.0;2008.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;4.1
