Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
575000.0;54.0;4;0;1;11;1964;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4.9
349900.0;37.0;2;0;3;4;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.1
498000.0;47.0;3;0;4;10;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.2
1450000.0;82.2;3;0;10;16;2011;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8.9
936250.0;74.9;3;0;1;5;2009;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8.8
1099000.0;51.5;3;0;1;7;2021;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.7
770000.0;69.0;3;0;3;3;2021;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;13.9
635000.0;44.6;2;0;0;3;1929;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;8.1
1950000.0;62.1;2;0;4;4;2002;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.4
1850000.0;77.0;2;0;5;5;2010;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;4.9
1395000.0;93.0;3;0;3;5;2013;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.8
1345000.0;40.58;2;0;11;17;2020;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;10.8
1320000.0;71.0;4;0;4;4;2018;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.4
1299000.0;104.0;4;0;2;3;1920;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0.0
790000.0;44.15;2;0;1;3;1916;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;13.3
745000.0;64.26;4;1;3;3;2021;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8.5
400000.0;40.8;2;0;2;2;1959;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.3
370000.0;32.69;1;1;2;3;2021;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8.5
1700000.0;110.19;4;0;2;2;1936;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;4.6
1650000.0;92.2;4;0;2;2;2014;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;7.1
1275000.0;42.5;2;0;0;3;2010;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.1
1217000.0;94.34;3;0;4;5;2020;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;10.3
1175658.0;83.38;4;0;0;2;2022;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;7.6
1049000.0;70.04;4;0;1;3;1960;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;12.7
1049000.0;70.04;4;0;1;3;1960;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;13.6
899000.0;79.8;4;0;1;2;1928;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;10.1
