Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
469000.0;77.0;3;0;0;2;1930;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;3.2
290000.0;31.0;1;0;2;3;2021;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;7.0
539000.0;88.11;5;0;0;4;1900;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0.7
449000.0;86.33;3;0;1;3;1930;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0.0
545000.0;48.0;3;0;0;1;2010;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;7.1
498800.0;58.0;1;1;1;4;2021;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;6.4
599000.0;51.5;2;0;2;4;2014;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5.7
549000.0;69.0;2;0;0;2;1998;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;6.4
319900.0;41.81;2;0;3;11;1978;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;3.8
479000.0;85.27;4;1;0;2;2021;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.5
599000.0;106.0;5;1;0;2;2021;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.5
610000.0;122.0;4;0;3;4;1930;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0.0
409000.0;48.65;2;0;0;4;1930;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0.7
485000.0;100.0;4;0;4;4;1930;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0.9
480000.0;74.19;3;0;0;1;1935;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;20.1
545000.0;63.1;3;0;2;3;2009;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;8.0
590000.0;56.0;3;0;0;3;1950;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3.3
269000.0;31.0;1;0;3;11;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;10.9
520000.0;64.14;3;0;2;4;1960;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0.0
339000.0;48.63;2;0;4;10;1972;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;3.8
519000.0;47.0;2;0;0;4;2014;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.4
799000.0;70.79;3;0;3;3;2019;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.5
425700.0;49.5;2;1;1;4;2021;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;6.4
429000.0;44.18;2;0;1;4;2015;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.4
649000.0;98.6;4;0;3;4;2002;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;4.9
300000.0;33.0;2;0;1;4;1974;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;11.4
414000.0;53.0;3;0;4;4;1987;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.7
419000.0;57.9;3;0;3;4;1987;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0.5
399000.0;40.51;2;0;1;2;1960;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3.2
495000.0;47.2;2;0;0;3;2019;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.2
815000.0;77.36;3;0;1;2;2015;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;5.9
418400.0;43.61;2;1;5;10;2023;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1.3
538000.0;54.0;3;0;0;4;1991;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;5.4
245000.0;24.0;1;0;1;3;1920;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0.5
299000.0;26.61;1;0;3;3;2011;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;4.0
347000.0;40.16;2;0;2;2;1960;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3.9
699000.0;85.0;4;1;0;2;2022;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;8.3
571000.0;77.0;4;0;1;12;1980;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;10.7
359000.0;46.5;2;0;1;10;1985;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3.6
525000.0;68.15;4;0;0;2;2006;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;3.2
415000.0;48.51;2;0;0;3;2001;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;6.4
