Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
549000.0;31.0;1;0;2;10;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;9.4
799000.0;57.0;3;0;0;6;2015;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;13.5
519000.0;38.17;1;0;0;4;1960;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;3.7
563400.0;33.25;2;1;6;8;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;7.0
899700.0;63.17;3;1;1;8;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;7.0
725000.0;51.09;3;0;4;10;1978;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;6.3
625366.0;47.02;2;1;8;26;2021;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.3
750000.0;120.0;6;1;1;1;2022;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;11.3
350000.0;39.0;2;1;3;4;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;45.0
550000.0;36.43;2;0;2;4;1955;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.7
499000.0;35.2;2;0;2;3;1964;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.6
568777.0;39.51;2;1;0;6;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.4
540000.0;54.4;3;0;6;10;1975;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;9.2
728000.0;59.1;3;0;3;9;2001;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;10.6
569000.0;59.0;3;0;4;4;1973;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;6.8
620000.0;43.0;2;0;10;10;2005;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.2
1700000.0;125.0;5;0;1;2;1992;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;9.6
365000.0;23.0;1;0;1;5;1950;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.5
786000.0;77.14;2;0;1;4;2016;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;25.2
720000.0;84.0;4;0;3;4;2006;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;21.2
1285000.0;99.0;4;0;2;3;2021;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;11.2
515000.0;38.0;2;0;0;4;2005;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.0
400000.0;34.0;1;0;0;4;1899;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.8
1150000.0;133.2;3;0;2;2;2001;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5.7
655000.0;55.4;3;0;2;3;1977;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;5.7
787000.0;50.0;2;0;3;5;1956;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.1
540000.0;27.0;1;0;7;12;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.7
555000.0;61.0;2;0;3;4;2008;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;9.8
555000.0;60.5;3;0;3;3;2008;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;9.8
849000.0;56.0;3;0;8;10;1977;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8.4
736000.0;66.0;3;0;5;5;2015;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.8
799000.0;62.9;3;0;4;6;2005;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;9.1
335000.0;28.0;1;0;4;9;1965;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;5.1
748000.0;67.4;4;0;3;10;1976;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;6.9
645000.0;54.0;3;0;4;4;2017;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;10.0
875715.0;97.41;4;1;0;2;2021;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;11.7
525140.0;43.95;2;1;3;7;2022;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.0
449000.0;64.0;3;0;0;1;1912;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;17.1
564060.0;47.4;2;1;3;7;2022;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;9.8
849653.0;61.27;3;1;1;6;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.3
1290000.0;100.8;4;0;3;4;2000;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5.4
1674000.0;62.03;2;0;3;7;2007;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.5
449000.0;65.0;2;0;3;4;2005;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;21.2
969900.0;59.48;3;0;1;4;2021;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.6
