Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
440000.0;56.0;3;0;4;4.0;1969.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.3
395000.0;50.8;2;0;4;4.0;1960.0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;10.1
392000.0;48.0;2;0;2;11.0;1979.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.8
1200000.0;114.0;4;0;3;5.0;1960.0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1.4
590000.0;76.1;2;0;1;1.0;2014.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;12.0
442485.0;50.14;2;1;2;4.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;5.8
515000.0;52.59;2;0;0;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;50.0
370000.0;43.06;2;0;3;10.0;1966.0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;5.8
600000.0;59.5;2;0;3;4.0;2017.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.3
486600.0;52.77;3;1;0;1.0;2021.0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;12.1
520000.0;57.61;3;1;1;4.0;2018.0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;6.3
900000.0;62.0;2;0;5;7.0;2012.0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.8
320000.0;33.34;2;0;2;4.0;1956.0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;15.3
760000.0;80.55;3;0;3;4.0;2015.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;8.1
550000.0;72.52;5;0;2;5.0;1920.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;15.3
339000.0;37.0;2;1;0;2.0;2021.0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;13.3
699000.0;61.0;3;1;1;4.0;2021.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.9
433000.0;34.0;1;1;1;4.0;2021.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.9
979000.0;60.0;3;1;4;4.0;2020.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;50.0
